province,year,policy_name,category,level
中国,2005,《可再生能源法》（通过）,清洁能源/可再生能源/法律,全国
中国,2007,国务院关于成立国家应对气候变化及节能减排工作领导小组的通知,组织机制,全国
中国,2010,关于开展低碳省区和低碳城市试点工作的通知 (发改气候〔2010〕1587号),省区/城市低碳试点,全国
中国,2012,关于开展第二批国家低碳省区和低碳城市试点工作的通知 (发改气候〔2012〕3760号),省区/城市低碳试点,全国
中国,2013,《大气污染防治行动计划》,减污降碳/空气质量/能源结构,全国
中国,2014,关于开展低碳社区试点工作的通知 (发改气候〔2014〕489号),低碳社区试点,全国
中国,2014,新能源汽车免征车辆购置税政策生效,新能源汽车政策,全国
中国,2015,《城市公共交通规划编制指南》（交运规〔2015〕41号）,公共交通/规划标准,全国
中国,2017,关于开展第三批国家低碳城市试点工作的通知 (发改气候〔2017〕66号),省区/城市低碳试点,全国
中国,2017,乘用车企业平均燃料消耗量与新能源汽车积分并行管理办法,双积分制度,全国
中国,2017,《关于划定并严守生态保护红线的若干意见》,生态红线/国土空间/城市绿化率,全国
中国,2019,《绿色出行行动计划（2019—2022年）》,绿色出行/公共交通/宣传月,全国
中国,2020,新能源汽车产业发展规划（2021—2035年）,新能源汽车发展规划,全国
中国,2020,《绿色出行创建行动方案》,绿色出行/创建机制/城市群协同,全国
中国,2021,新能源汽车产业发展规划（2021—2035年）长期版本,新能源汽车发展规划,全国
中国,2021,全国碳排放权交易市场启动（电力行业）,碳排放/碳交易,全国
中国,2021,《中华人民共和国国民经济和社会发展第十四个五年规划纲要》,综合/清洁能源/绿色转型,全国
中国,2021,《“十四五”林业和草原保护发展规划》（目标：森林覆盖率约24.1%）,森林绿化率/生态修复,全国
中国,2022,国家适应气候变化战略2035,气候变化战略,全国
中国,2022,《国家公交都市建设示范工程管理办法》（交运发〔2022〕38号）,公共交通/公交都市,全国
中国,2022,《关于推动新型储能参与电力市场和调度的通知》,储能/电力市场/新能源消纳,全国
中国,2025,国家发展改革委组织开展车网互动（V2G）试点（9城）,绿色出行/电动汽车/电网互动,全国
上海,2013,上海碳排放权交易试点启动,碳排放/碳交易/地方试点,省/市
上海,2019,上海港口岸电设施建设与使用推进方案,公共交通/港口岸电/物流绿色化,省/市
上海,2020,上海铁路电气化与多式联运绿色物流行动计划,公共交通/铁路/物流,省/市
上海,2021,《加快新能源汽车产业发展实施计划（2021—2025年）》,绿色出行/新能源汽车产业/充电网络,省/市
上海,2021,《上海“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
上海,2021,《上海“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
上海,2022,上海电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
云南,2016,云南海绵城市建设试点与实施方案（第一阶段）,城市绿化率/水环境/海绵城市,省/市
云南,2020,云南黑臭水体治理与城市生态修复三年行动,生态修复/城市绿化/水环境,省/市
云南,2021,清洁能源基地巩固提升（水电+光伏）,清洁能源/水光互补,省/市
云南,2021,《云南“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
云南,2021,《云南“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
云南,2021,水光互补清洁能源基地巩固提升,清洁能源/水电/光伏,省/市
云南,2022,云南电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
内蒙古,2021,集中式风光项目年度建设规模安排,清洁能源/风光/外送,省/市
内蒙古,2021,《内蒙古“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
内蒙古,2021,《内蒙古“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
内蒙古,2022,沙戈荒大型风光基地开工（库布其/腾格里等）,清洁能源/风电/光伏/外送,省/市
内蒙古,2022,内蒙古电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
内蒙古,2022,沙戈荒大型风光基地与跨区外送工程,清洁能源/风光/外送,省/市
内蒙古,2024,三峡新能源鄂尔多斯千万千瓦级新能源基地项目,清洁能源/风光/外送/储能,省/市
北京,2013,北京碳排放权交易试点启动,碳排放/碳交易/地方试点,省/市
北京,2013,《北京市清洁空气行动计划（2013—2017年）》实施,减污降碳/空气质量/能源结构,省/市
北京,2017,京津冀秋冬季大气污染综合治理攻坚行动,减污降碳/控排/联防联控,省/市
北京,2020,北京铁路电气化与多式联运绿色物流行动计划,公共交通/铁路/物流,省/市
北京,2021,《北京“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
北京,2021,《北京“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
北京,2022,北京电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
吉林,2021,《吉林“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
吉林,2021,《吉林“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
吉林,2022,吉林电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
吉林,2023,“陆上风电三峡”百万千瓦风电基地（松辽平原）,清洁能源/风电基地,省/市
四川,2016,四川海绵城市建设试点与实施方案（第一阶段）,城市绿化率/水环境/海绵城市,省/市
四川,2020,四川黑臭水体治理与城市生态修复三年行动,生态修复/城市绿化/水环境,省/市
四川,2020,四川铁路电气化与多式联运绿色物流行动计划,公共交通/铁路/物流,省/市
四川,2021,《四川“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
四川,2021,《四川“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
四川,2022,《四川省“十四五”电力发展规划》：风光装机目标,清洁能源/电力/风光发展,省/市
四川,2022,四川电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
四川,2022,“十四五”电力发展规划：风光装机与水电优化,清洁能源/电力/风光水,省/市
天津,2013,清洁空气行动与港口岸电推广,减污降碳/港口清洁能源,省/市
